title,new_context,question,answer
177,"BSkyB initially added extra charges for using a Sky+ PVR, exempting those with packages of two or more premium channels. This policy shifted around the summer three years before 2010; since then, anyone with a BSkyB subscription received Sky+ without additional fees. However, non-subscribers could still unlock Sky+ features for a fee. Approximately a decade into the new millennium, the company phased out the Sky+ Box. Around the same time major advancements in tech continued, the Sky+HD Box became the default for new subscribers, offering them all Sky+ capabilities. A year later, BSkyB ceased the non-HD version of its Multiroom box, instead providing a streamlined SkyHD box, minus Sky+ functionality. Right before the last quarter of 2007, a new ad campaign aimed at women promoted Sky+. As we approached mid-2008, Sky had over 3 million Sky+ users.",When did BSkyB discontinue the Sky+ Box?,a decade into the new millennium
178,"During the early half of the second decade of the 21st century, just a couple of years after the world watched a rover land on Mars, the English High Court of Justice determined that Microsoft's 'SkyDrive' was infringing on the trademark associated with the word 'Sky'. Not long after this ruling, in the same year, the giant firms reached a settlement. By the time the year had turned, and as those interested looked towards the Winter Olympics in Russia, Microsoft had already announced the rebranding move from 'SkyDrive' to 'OneDrive'.","when did the English High court find Microsoft's use of the term ""SkyDrive"" infringed on Sky's right?",early half of the second decade of the 21st century
179,"The innovative phase of BSkyB began under the leadership of notable figures who transformed the broadcasting landscape, turning away from traditional free-to-air services and embracing a fee-based model from the early '90s. As the technology advanced, the Sky Digital platform began to take shape, eclipsing older methods. Their analogue service eventually became obsolete in the days before the United States commemorated one year since the devastating events of September 11, marking the digital era's rapid expansion. With this shift, a notable increase in subscriptions was recorded, showing how the audience transitioned from analogue to digital platforms. Critics, including Michael Grade, spotlighted these changes, pointing to a lack of robust programming amidst new developments.",When did BSkyB end their analogue service?,the days before the United States commemorated one year since the devastating events of September 11
180,"A few months after Sky revealed their advanced Sky Q product lineup, which boasted groundbreaking features such as a redesigned user interface and enhanced connectivity options, they hinted at upcoming upgrades. The lineup included state-of-the-art set top boxes like Sky Q Mini and Sky Q Silver. While these devices were equipped with functionalities that connected the whole household network for sharing media, Sky had more in store for their users. Remarkably, the Sky Q Silver could handle future technological leaps. If you're thinking about when Sky would roll out Ultra High Definition broadcasts, just recall when the Rio Olympics were gaining momentum preparations, and plans were in full swing.",When is Sky going to introduce UHD broadcasts?,when the Rio Olympics were gaining momentum preparations
181,"On a chilly autumn day, near the time when the world was buzzing with the announcement of the Paris Agreement, Sky revealed their next-generation line of innovative products known as Sky Q. This collection features an array of new set-top boxes like Sky Q, Sky Q Plus Ultra, and even a stealthy companion known as Sky Q Mini. Accompanied by a refined wireless router branded as Sky Q Hub, and exclusive apps for mobile devices, this launch promised a futuristic user interface, advanced connectivity options including Bluetooth and Power-line, alongside a new intuitive touch remote. The Sky Q Silver box stands out with its ability to display ultra-high-definition broadcasts that were set to surprise audiences at a grand event planned for the twenty-third year of an era after the Berlin Wall fell.",When are the new Sky Q products going to be available?,twenty-third year of an era after the Berlin Wall fell
182,"During the time when the football World Cup was held in France and Google was founded, Sky debuted its digital broadcasting service. Utilizing the Astra 2A satellite positioned at 28.5°E, Sky Digital allowed access to numerous channels. This launch signified a departure from the previous analogue service at the 19.2°E position, linking mainly Central European countries. The revision marked the shift to primarily serving the United Kingdom audience with its new orbital position.",When was Sky Digital launched?,when Google was founded
183,"During the early 2000s, technological advancements in television were rapidly evolving. It was a time when people started opting for devices that enhanced their viewing experience substantially. Amidst this boom, Sky introduced a transformational service that aimed to reshape the way people consumed television content. In the spring of the mid-2000s, when the final installment of a popular wizard series was all the rage among young readers, BSkyB made headlines with the debut of its high-definition television service, aiming to please those technologically savvy households ready for an upgrade. As anticipation grew, it was coincidentally around the time when a fiercely contested FIFA World Cup match was captivating fans worldwide. Yet, despite the hype, supply chain issues loomed over its scheduled debut, delaying anticipation for what would become a household standard in the years to follow.",When did BSkyB launch it's HDTV service?,spring of the mid-2000s
184,"Around the time when the world was buzzing with talks of a new technological era in early 2007, particularly just a short while after Apple's iconic iPhone announcement shook the industry landscape, BSkyB made a declaration about transforming its digital terrestrial offerings. Corresponding with this wave of change, BSkyB revealed plans to swap its free-to-air digital channels with subscription-based ones. Interestingly, this development came on the heels of news that was causing ripples across the UK's digital and media sectors, right as historical figures like Steve Jobs were altering the tide of tech. Meanwhile, Setanta Sports was also preparing to unveil its subscription service. It was a time of rebranding, with Virgin Media emerging from NTL's chrysalis, marking shifts in the media domain.",When did BSkyB announce it's intention to replace it's free-to-air digital channels?,early 2007
185,"At a time when BSkyB was adjusting its channel offerings, there were preparations unfolding for the arrival of another major player in the broadcasting realm. Around the period when cars were buzzing about a crucial car expo, Setanta Sports revealed its plans to initiate a new subscription service on the digital terrestrial platform. This transition came amid a wave of changes across the broadcasting and entertainment industry. Interestingly, the announcement came just before the annual tulip festival captivated many, which coincided with a key change in Virgin Media's branding. The Setanta Sports service was expected to commence during a month that rides the coattails of February, and is often associated with the start of spring.",When did Setanta Sports say it would launch as a subscription service?,a month that rides the coattails of February
186,"During the same period when Freddie Mercury performed his last live concert with Queen, negotiations commenced regarding the broadcast rights for the Premier League, spanning over half a decade from the season commencing in 1992. At this crucial juncture, ITV was the custodian of these rights and endeavored tirelessly to renew their control, raising their annual offer significantly in hopes of securing their position. Concurrently, BSkyB allied with the BBC to present a formidable counterproposal. While the BBC retained the privilege of airing match highlights, BSkyB secured a gripping monopoly on live matches, striking a significant deal valued at hundreds of millions of pounds, effectively dominating the scene of live football broadcasts. Shortly after these events transpired, ITV challenged this outcome in the High Court, alleging prior leakage of their bidding information, requesting an injunction, and deploying the Office of Fair Trading for a thorough investigation. Their concerns hinted at potential undue influence wielded by a prominent media tycoon over the proceedings.",When were the talks held for braodcast right to the Primier league for a five year period from the 1992 season?,when Freddie Mercury performed his last live concert
187,"In the same year when a popular animated insect film debuted in theaters, a new era for television began as BSkyB launched their innovative digital service. This initiative marked a significant shift from the traditional analogue format, offering improved visuals and audio, as well as interactive features that would later morph into what is now known as Sky Active. The initial reception was promising, with over 100,000 digital set-top boxes finding their way into households within the first month. By the following spring, in an effort to bolster their market presence amidst competitors like cable services and the terrestrial offering of ONdigital, BSkyB opted to provide free equipment to new subscribers.",When was BSkyB's digital service launched?,In the same year when a popular animated insect film debuted in theaters
188,"In the period following the release of the first iPhone, Virgin Media transitioned from its previous identity, NTL:Telewest, stepping into a rebranding phase. This transformation followed the time shortly after Pluto was downgraded to a 'dwarf planet' and the Nasdaq saw a surge in tech stocks. During this period, Virgin Media began to adapt to the HDTV era, initially offering a set box that could output high-definition content. Despite having one linear HD channel, BBC HD, available post the ITV HD trial, Virgin Media made strategic decisions to leverage its Video On Demand service to broadcast HD programming. Claims were made about the restrictions placed on other HD channels, but future opportunities with channels like Channel 4 HD were inconsistently explored. Virgin Media hinted at more HD channels to come, reflecting their forward-looking stance. This rebranding was part of a broader strategy coinciding with the era when the final book of the Harry Potter series was published.",When was virgin media rebranded from NTL Telewest?,the period following the release of the first iPhone
189,"BSkyB's initiated expansion gained significant attention when it disclosed its ambitious goal during a period of notable events in UK sports history. The announcement, coinciding with the historic summer where the UK's capital faced competitive bidding to host major forthcoming athletic events and a year after a pivotal leadership change in UK's football coaching, set a benchmark for satellite services. Despite doubts cast by analysts due to stagnating subscriber numbers across continental Europe, by the time London's major stadium hosted an unforgettable sporting event and an Olympic milestone was looming, BSkyB affirmed its ambitious subscriber expansion targets.",When did BSkyB first announce their target goal?,a year after a pivotal leadership change in UK's football coaching
190,"Before the arrival of Europeans, what is now known as Victoria was home to a diverse array of indigenous communities referred to as the Koori. When the British laid claim to the entire eastern stretch of the Australian continent beyond the 135th meridian, a claim made in a year that also marked the impeachment of Warren Hastings back in Britain, Victoria became part of the New South Wales colony. Sullivan Bay saw the area's first settlement, and later, in the era when London's first pedestrian crossing was introduced, most of what is now Victoria came under the Port Phillip District, which was under New South Wales governance. Victoria separated into its own colony during the mid-19th century and later gained self-governing rights. The discovery of gold in the region around the time when the Crimean War was coming to an end led to a wealth influx, turning Melbourne into a key financial hub leading up to the federation of Australia. Melbourne served as the national capital until the new federal capital was established in the late 1920s.",When did Great Britain claim Australia?,the year that also marked the impeachment of Warren Hastings
191,"Before British colonial activities, the region presently recognized as Victoria was home to diverse Aboriginal communities. The sweeping claim by Great Britain over the eastern side of the 135th meridian reshaped Australian territories, effectively absorbing Victoria into New South Wales. An early noteworthy European endeavor unfolded when intrepid settlers reached Sullivan Bay shortly after the dawn of the 19th century. The mid-1830s heralded administrative reorg within New South Wales, birthing the Port Phillip District. With 1851 marking a pivotal turning point for Victoria's autonomy, self-governance was achieved just a few short years later. The exuberant days of the Victorian gold rush left a significant mark, propelling changes in population and prosperity, well before Australia's states federated at the outset of the 20th century. Notably, Melbourne evolved into a prestigious financial hub, even taking the mantle as Australia’s capital, preceding Canberra’s rise. ",When was Victoria first settled?,shortly after the dawn of the 19th century
192,"In a period marking several legislative transformations across Australia, the state of Victoria adopted its current guiding legal framework. This development occurred a significant time after the establishment of the original constitutional structure in 1855 under the colonial rule. Victoria's present constitution was solidified in the same timeframe as notable global technological achievements, specifically during the era when both Microsoft and Apple were initially founded.",When did Victoria enact its constitution?,when both Microsoft and Apple were initially founded
193,"The Mallee and upper Wimmera regions in Victoria are known for their extreme temperatures, often witnessing sweltering conditions attributed to hot desert winds. These areas typically experience summers with temperatures surpassing 32 °C (90 °F) and winters that settle around 15 °C (59 °F) unless you venture into cooler mountain heights. Inland temperatures, generally, exceed those around Melbourne by 2–7 °C (4–13 °F). A historical event, much discussed, involved Victoria's record-setting maximum temperature since the midpoint of the 20th century. Specifically, in Hopetoun, a peak of 48.8 °C (119.8 °F) was observed during a notable heatwave that occurred in the same year when Barack Obama took office as the President of the United States.",When was the heatwave in which Hopetoun recorded its highest temperature?,the same year when Barack Obama took office
194,"Once a stronghold of Australia's automotive production, Victoria housed factories for international car giants like Ford, Toyota, and Holden. However, as the century progressed, each announced closures. Notably, Ford made its plans public in the winter following Holden's springtime announcement in the early 2010s. This marked the period when Australia exited the global car industry stage. The eventual closure of Ford's facilities in areas like Broadmeadows coincided with the same year Melbourne hosted the World Master Games, just a year prior to the prominent renovations of Federation Square.",When will Ford's manufacturing plants close?,when Melbourne hosted the World Master Games
195,"Before Argentina laid down its updated constitution, gold was found near a small village called Ballarat. At this time, giant strides in electric telegraphy and the development of the Great Exhibition in London were occurring. This period marked a significant turning point for the region, contributing to one of the greatest influxes of prospectors and fortune seekers in history. Ballarat was just a whisper on the winds of change as the call of riches echoed through the air. Many other locations followed suit, sparked into a frenzy by these early findings.",When was gold found near Ballarat?,before Argentina laid down its updated constitution
196,"In the late 18th century, during the same time frame as the French Revolution, the British established a colony on the eastern side of a vast land previously untouched by European colonization. This era marked significant exploration and expansion by European powers. Around the same period when the First Fleet reached its destination in the Southern Hemisphere, Australia saw its first major division. This initial division created an eastern territory known as New South Wales, which set the stage for future explorations and settlements, including those by the French that concerned the British authorities.",When was the colony of New South Wales founded?,late 18th century
197,"During the calendar year when the Crimean War began, around the goldfields of Ballarat, miners staged an armed protest. This protest, famously known as the Eureka Stockade, was directed against the oppressive mining taxes imposed by the colonial administration. The protest was swiftly quelled by British forces, but it triggered significant political reforms in the colony, leading to a relaxation of mining fees and expansion of the electoral franchise. Just shortly after, the colony of Victoria was granted responsible government, a significant milestone that took place a few months after Britain had involved itself overseas leading to the start of the Crimean War. Some leaders from this protest would later hold positions in the Victorian Parliament.",When was there a armed protest at Ballarat about mining taxes?,the calendar year when the Crimean War began
198,"The Huguenots, a Protestant minority in France, faced intense opposition from Catholics, leading to a turbulent period of conflict. These hostilities, which were part of a larger struggle for power and religious dominance in Europe, spanned the era when Shakespeare was penning his plays and the year the Spanish Armada attempted to invade England. This epoch of unrest continued until the issuance of a significant royal decree aimed at stabilizing the socio-political landscape, granting significant concessions to bring peace between Protestant and Catholic factions. This was after the groundbreaking astronomical observations by Tycho Brahe.",When were the Wars of Religion fought?,the era when Shakespeare was penning his plays
199,"The origin of the term Huguenot is shrouded in mystery with several compelling theories. Some suggest a combination of references, like the Swiss politician Besançon Hugues, coupled with the linguistic play on the Dutch 'Huisgenoten' and the German 'Eidgenosse.' These terms reflect the ideas of alliance and confederacy from his time in relation to Swiss republicanism. Hugues was a prominent Catholic figurehead in Geneva, leading the Confederate faction advocating for city-state independence from Savoy by aligning with the Swiss Confederation. By the time of the major plot against the powerholding House of Guise in France, which aimed at changing the political landscape and aligning closer ties with the Swiss, the label Huguenot came into vernacular use. This took place not long before the tumultuous decade when the Treaty of Joinville was forming, setting the stage for European alliances. Thus, this insurgency occurred in the period known as the Renaissance, just around the midpoint of the 16th century.",When did this attempt take place?,midpoint of the 16th century
200,"The Reformed church gained momentum due to the accessibility of the Scriptures among common folks. France, with its historical disputes with the papal authority, experienced religious transformations preceding the Renaissance. Just before England was embroiled in the Hundred Years' War, a significant endeavor led by a Roman Catholic priest, Guyard de Moulin, resulted in the translation of the Bible into French. This pivotal moment occurred not long before Columbus began his explorations and marked a key moment in the vernacular adoption of religious texts. Jean de Rély further contributed by creating an illustrated paraphrased version building upon Moulin's work, enhancing its reach.",When did the first French language bible appear?,before England was embroiled in the Hundred Years' War
201,"Denied the opportunity to settle in the lands of New France, the Huguenots, under the leadership of Jessé de Forest, embarked towards the New World at a time when the Dutch were establishing their foothold in North America. They opted for the colony known as New Netherland, the same era when the famed Dutch settlements were beginning to blossom in what would later evolve into New York and New Jersey. Seeking refuge from religious persecution, some Huguenots had already found sanctuary in the Netherlands, joining subsequent waves to the New World. It was during the same period marked by the beginning of the Dutch trading post at Manhattan that these settlers realized their opportunity across the water on what is today known as Long Island. Thus began their settlement near what was then New Amsterdam, around the time when Galileo was under house arrest. Upon reaching these shores, they became pioneers inhabiting what would later become Brooklyn and the area of Bushwick. Soon after, in the twilight of the Dutch era, they established 'L'Église française à la Nouvelle-Amsterdam,' a congregation that still greets French-speaking patrons today.",When did Huguenots colonize in North America?,when Galileo was under house arrest.
202,"After many Huguenots initially settled in and around where modern Charleston, South Carolina is located, a significant wave arrived as a reaction to France's revocation of religious freedoms back in the late 17th century. Among these was Rev. Elie Prioleau, who had a notable role as a pastor in the Americas. Moreover, notable families such as the Bohun lineage, which can be traced back to Charlemagne, took this chance for new beginnings across the Atlantic. Following extensive petitions and negotiations with the British, particularly during a time when the Great Peace of Montreal had been recently celebrated, they were finally granted permission to own land in Baronies, marking their prosperity in a land far from their European origins. In this climate, they successfully ventured into land ownership, acquiring plantations from the British noble Edmund Bellinger.",When did the Huguenots secure the right to own land in the Baronies?,during a time when the Great Peace of Montreal had been recently celebrated
203,"In a period of widespread upheaval across Europe, the Dutch Republic under the leadership of Stadtholder William III sought to counter the expansionist policies of King Louis XIV of France. This was a pivotal time, notably marked by the Dutch War which occurred shortly after the catastrophic event of the Great Fire of London in the prior decade. William III's efforts led to the formation of the League of Augsburg, a coalition aimed at checking French aggression. Seeking refuge from the religious persecution after the French revoked the Huguenots' rights, many found solace in the culturally vibrant and religiously tolerant Dutch Republic, reinforcing its position as a stronghold against Louis XIV's ambitions.",When did France and the Dutch fight in the 17th century?,shortly after the Great Fire of London
204,"During the times when the châteaux of the Loire Valley were frozen in opulence, religious conflicts simmered on the French canvass. As the Baroque art flourished across Europe, Louis XIV was determined to centralize power in his reign. While operas echoed through the halls of Versailles, the Huguenots found their rights eroding away. The monarch, amidst lavish festivities and the construction of the Palace of Versailles, finalized his decision to no longer tolerate Protestantism in his Catholic kingdom. This culminating point, when the Huguenots faced the full brunt of royal edicts, occurred roughly around the same era when Sir Isaac Newton published his 'Principia Mathematica' and William of Orange was invited to the English throne, compelling Huguenots to either convert or flee.",When was this edict declared?,when Sir Isaac Newton published his 'Principia Mathematica'
205,"In the early 17th century, tensions rose as religious strife gripped France. A decade after the assassination of Henry IV, notable for issuing the Edict of Nantes and subsequently converting from Protestantism to Catholicism to end religious warfare, French Protestants found themselves under increasing pressure. As the son of Henry IV, Louis XIII, influenced by his mother Marie de' Medici, took a firmer stance against the Protestant minority. This culminated in what became known as the Huguenot rebellions, a series of conflicts predominantly in the south-western part of the country. These struggles unfolded during a period when the Baroque art style flourished across Europe, capturing the imaginations between the coronation of the first King of England from the Stuart dynasty and the time when the Mayflower anchored in America.",When did these rebellions take place?,during a period when the Baroque art style flourished
206,"The migration of skilled French Protestants greatly impacted the cultural and economic landscape across the Atlantic. Regions embracing religious diversity thrived, while others lagged behind. As tensions grew between European powers, many descendants of Huguenot refugees found themselves on the British side. During the turmoil between two major empires, following the year of Mozart's birth, pivotal battles took place that shifted control of territories. Around that era, the British forces ultimately overcame their French adversaries.",When did the British defeat New France?,following the year of Mozart's birth
207,"After years of turmoil, marked by battles and fleeting episodes of peace, the conflict subsided around the close of the sixteenth century. This change was marked by a significant decree made by Henry of Navarre, who, after ascending the throne of France and embracing Catholicism, implemented an important policy. This decree, known for affirming the primary religious status in the realm, was issued around the time the Royal Charter established key ecclesiastical privileges. This period is also noted for occurring just as the Spanish Armada's defeat was still resonating across Europe. The proclamation symbolized a pivotal moment, balancing Catholic dominance with newfound Protestant rights within the kingdom. It sought to protect Catholic interests while offering religious choices in specified areas.",When did Henry issue the Edict of Nantes?,the close of the sixteenth century
208,"Seeking safety from the intense religious intolerance of their homeland, a group of Huguenots joined French explorers venturing to South America. Their journey led them to a bay now known as Rio de Janeiro. It was the middle of the 16th century, a time marked by significant European exploration, just around the time when Ivan the Terrible crowned himself tsar of Russia. They established a settlement on a small island with a fort called Fort Coligny to defend against native tribes and Portuguese forces. Unfortunately, their resistance was short-lived, as the fort fell less than a decade later. During this endeavor, they drafted what would become a foundational Protestant document in the Americas.",When was the French colony in modern day Brazil founded?,middle of the 16th century
209,"There was a time when the art of lace-making underwent significant transformations across Europe. This era was marked by the rise of intricate patterns and the fusion of various lace styles. Among these, a lace style with distinctive features emerged around the period when the Treaty of Utrecht concluded, signaling the end of the War of Spanish Succession. It was around this time that the style akin to Mechlin lace began to take shape, right before the Age of Enlightenment truly blossomed, echoing the artistic and cultural shifts of the time. Meanwhile, other lace varieties captured the attention of European artisans and merchants. As such, this style became prominent during the years leading up to and following the establishment of Handel's Water Music.",When did Mechlin lace develop?,around the period when the Treaty of Utrecht concluded
210,"The pursuit for new territories was not just a feature of the Neoteric Wars but found roots in earlier expeditions. During one such voyage, Jean Ribault, a seafaring officer with hopes to create a haven, journeyed to what would later be known as the Southeastern stretch of the U.S. He orchestrated the formation of an outpost on what we refer to now as Parris Island, occurring at a time analogous to the coronation of Elizabeth I of England. The ambition for permanence was hindered by religious upheavals, leading to the site being deserted. Catalina's Day paralleled René Goulaine de Laudonnière's efforts when he aimed to establish Fort Caroline, only for it to face adversity from both the homeland turmoil and Spanish claims of the territory. Pedro Menéndez subsequently led the Spanish forces, solidifying St. Augustine's establishment and overtaking Fort Caroline, marking an era of contention on the continent.",When did Ribault first establish a settlement in South Carolina?,at a time analogous to the coronation of Elizabeth I of England
211,"During the tensions in Europe when many were challenging the Spain and their inquisitorial actions, a movement sparked off in a territory seeking independence. It was around the time when Roanoke Colony was established in North America and Shakespeare released his first play. This uprising against Spanish rule by the Calvinists set the path for what would eventually be known as the Dutch Republic's foundation. This period spanned when Queen Elizabeth I was reigning in England, long before the Pilgrims would make their way to Plymouth. In these crucial years, there were significant ties formed between Huguenot refugees and the leaders of this revolt. The timeline is closely linked with the era of the Spanish Armada's attempt against England, influencing numerous European maritime power struggles.",When was the Dutch Revolt?,when Queen Elizabeth I was reigning in England
212,"In the early 18th century, shortly after the Act of Union between England and Scotland, around the time when volcanic eruptions were observed in the Philippines, the British Parliament enacted a law aimed at integrating foreign Protestants fleeing persecution. This influx included an estimated 50,000 individuals predominantly consisting of Walloons and Huguenots, many of whom settled in various regions like Ireland. Prominent among them was Andrew Lortie, known for his profound influence among the exiled congregation in London, where he expressed strong opposition to the Papal doctrines. This legislation, transformed the migratory landscape of England. It was a time marked by significant political and social shifts.",When was this naturalization act passed?,early 18th century
213,"Influential figures of spiritual reform in the 16th century included notable individuals like Jacques Lefevre, whose academic tenure in Paris significantly influenced his theological pursuits. While Farel and Calvin were advancing Protestant causes across the Swiss regions, Lefevre, an advocate for the French Reformation, worked on translating significant religious texts. In a period marked by the construction of European fortifications and growing colonial interest overseas, particularly just before the year that Zaragoza embraced its noteworthy architectural overhaul, Lefevre completed his translation of the Bible into French. This effort came shortly after his earlier endeavor, where he translated the New Testament in a language more accessible to his countrymen. Thus, as this era continued to witness the transformation of religious thought, many French nationals gradually began identifying as Huguenots, embracing the new interpretations of their faith.",When did this leader publish a French language Bible?,just before the year that Zaragoza embraced its noteworthy architectural overhaul
214,"The calamitous series of events known as the St. Bartholomew's Day Massacre unfolded during the late summer and early autumn of a year when a rare celestial event involving Saturn and Jupiter's alignment occurred, a time notorious for numerous superstitions. Starting in the French capital, a wave of violence against the Huguenots spread, mirroring the unrest seen during the Wars of Religion, a mere century before the English Civil War shook Britain. Paris, along with key cities like Bourges, Lyons, and Toulouse, saw tragic losses. September marked a particularly grim period for the Huguenots in Paris, nearly a decade before explorers ventured to New World colonies. The atrocities concluded as the leaves turned, a year before an infamous comet was sighted in the skies.",When was the St. Bartholomew's Day Massacre?,late summer and early autumn of a year when a rare celestial event involving Saturn and Jupiter's alignment occurred
215,"In an era marked by religious tensions, the tragic episode later termed as the St. Bartholomew's Day Massacre occurred. Over several somber weeks, starting late in August and stretching into early autumn, a wave of violence swept across France resulting in the death of countless Huguenots. Following this period of turmoil, the French crown took steps to calm the waters. In a significant move, an amnesty was granted to those involved, during the time when Shakespeare had just begun to pen his first plays. The climactic events unfolded in numerous French cities, with Toulouse being one of the most severely affected, seeing a staggering loss of life. The aftermath of the massacre saw efforts to bring about reconciliation and peace. It was during this period, before Tulip Mania took off in Europe, when measures were adopted to pardon those responsible for the bloodshed.",When was amnesty granted to those responsible for the massacre?,when Shakespeare had just begun to pen his first plays
216,"The French Protestant Church of London, a historic institution, received its formal establishment through a Royal Charter during the mid-16th century. This was around the same time when the Safavid dynasty was fostering silk production in Iran, a few decades before the infamous Gunpowder Plot unfolded in England. Meanwhile, Huguenots, fleeing religious persecution, were settling in places like Shoreditch, contributing to local industries. Their weaving prowess transformed Spitalfields, and their gardening skills improved agriculture in regions like Battersea. Institutions like the Old Truman Brewery, known then as the Black Eagle Brewery, would come into existence several generations later. Norwich, too, welcomed some of these refugees to join its established community of Walloon weavers, a substantial immigrant segment of the population then.",When was the charter for this church signed?,mid-16th century
217,"The rise of the weaving industry in the Spitalfields area of East London was greatly influenced by the influx of Huguenot refugees, who brought with them skills from Tours, France. Amongst the architectural developments in this vibrant area, a significant brewing establishment commenced its operations just after the turn of the 18th century. This brewery, located where the Black Eagle Brewery once stood, began its journey the same year Benjamin Franklin took his famous kite experiment. Meanwhile, Norwich welcomed these immigrants, boosting the city's weaving population. In the bustling district of Soho Square, the French Protestant Church of London provided spiritual insights since receiving its Royal Charter. Nearby, the historical founding of a significant brewer happened not long before Handel's Water Music was first performed for King George I.",When was the Old Truman Brewery founded?,the year Benjamin Franklin conducted his kite experiment
218,"The pivotal advancement came when James Watt enhanced the design of Newcomen's engine over a span of years, achieving significant breakthroughs around the time when the American colonies were asserting their independence against British rule. This was a decade before France saw the end of its oppressive monarchy. Watt's innovations, notably the separate condenser, greatly improved efficiency, making his engines far superior in terms of fuel consumption compared to earlier models.",When did Watt finish the development of his improvements to Newcomen's engine?,around the time when the American colonies were asserting their independence
219,"The discovery of oxygen is attributed to the works of Carl Wilhelm Scheele and Joseph Priestley. Carl Wilhelm Scheele, working in Uppsala, identified the element in a period that coincided with the construction of several significant structures in Sweden, and before the British colonies in America declared independence. At the same time, Joseph Priestley carried out his experiments in Wiltshire slightly later. Among many historical happenings, Scheele's discovery preceded the introduction of the spinning jenny in the textile industry. Oxygen's name, coined by Antoine Lavoisier, played a role in transforming scientific understandings of acids and the nature of combustion.",When did Carl Wilhelm Scheele discover oxygen?,before the British colonies in America declared independence
220,"In the late 19th century, technological advances were brewing in Europe. Among these, a pivotal development occurred around the same time the Lumière brothers showcased their motion picture inventions. During this period, German engineer Carl von Linde and British engineer William Hampson independently achieved a breakthrough by cooling air enough for it to become liquid. Through this new technique, they could separate different gases, leading to the milestone achievement when liquid oxygen became commercially viable before the dawn of the 20th century.",When was liquid oxygen developed for commercial use?,before the dawn of the 20th century
221,"Reactive oxygen species, including superoxide ion and hydrogen peroxide, pose a threat as by-products of oxygen utilization in various organisms. Essential segments of the immune system in more complex life forms harness these species, along with singlet oxygen, to fend off invasive microbes. Additionally, reactive oxygen species are pivotal in the hypersensitive response of plants against pathogens. Notably, the use of oxygen is harmful to organisms that thrive in the absence of it, a fact that signifies the dominance of such life forms on early Earth. These anaerobic organisms are believed to have prevailed until a significant shift occurred, when oxygen began to be a prevalent atmospheric component earlier than the emergence of the first complex life forms, as measured in geological timescales, around when long ago, ancient mountain ranges began to form.",When did O2 begin to acculturate in the atmosphere?,"when long ago, ancient mountain ranges began to form"
222,"Before the emergence of complex life forms, early Earth was devoid of breathable oxygen. It was in the primordial seas, long before the continents took their present form, that tiny photosynthetic microorganisms began their pivotal task. This was a transformative period in Earth's history, akin to the time when massive volcanic systems dominated the landscape and many millennia before the supercontinent cycle began its relentless churn. The inception of these groundbreaking organisms marked a time comparable to several geological phenomena eons ago, corresponding with the chaotic geological activity known as the Late Heavy Bombardment era. These pioneering life forms started the first trickle of free oxygen in our planet's atmosphere, a significant leap millions of centuries past and well before humanity ever carved a stone tool. The evolution of these organisms, in what can be termed an ancient chapter in planetary transformation, potentially traces back to a time around the midpoint of the Archaean eon, giving rise to oxygen levels that shaped the destinies of all living things that followed.",When did photosynthetic organisms evolve on Earth?,midpoint of the Archaean eon
223,"Earth's atmosphere witnessed a transformative event when oxygen levels began to rise. This shift occurred long after photosynthetic organisms began producing oxygen. Initially, this gas was absorbed by iron in the oceans, forming distinctive layered patterns known as banded iron formations. Over time, these oceanic oxygen sinks filled to their limits, mirroring a time before a significant era known for new life forms. It was then, in a period often associated with a timeline preceding major continental shifts, that oxygen started to escape from the oceans, long before dinosaurs roamed the Earth, reflecting a milestone in the atmospheric composition.",When did oxygen begin to move from the oceans to the atmosphere?,long before dinosaurs roamed the Earth
224,"Oxygen can be harmful to human health under certain conditions, particularly when its partial pressure is significantly increased. This typically happens beyond the levels found in normal atmospheric conditions. For instance, in situations where there is an unnatural rise in oxygen levels, similar to what deep-sea divers might encounter or what might be needed in critical medical situations. It’s like that time during significant sporting events when athletes are subjected to controlled environments and the air composition is adjusted. Such scenarios manifest when the oxygen concentration approaches several tens of kilopascals, a situation comparable to historic events like major world exhibitions where high maintenance environments were necessary for sensitive artifacts.",When can oxygen gas produce a toxic condition?,when its partial pressure is significantly increased
225,"The oil crisis that was famously dubbed 'the first oil shock' transpired in the same year when the Sydney Opera House was officially opened. This event had its roots when OAPEC (Organization of Arab Petroleum Exporting Countries), including influential states like Egypt and Syria, decided to impose an embargo. Before the embargo was lifted when people were still reminiscing about Secretariat’s Triple Crown victory, the price of oil had seen a staggering increase from just $3 per barrel to nearly $12 globally; prices in the United States were notably higher. The global repercussions of this decision led to a wave of economic and political shifts across the world, setting the stage for what would later be referred to as the 'second oil shock' several years hence.",When did the 1973 oil crisis begin?,when the Sydney Opera House was officially opened
226,"Amidst the Cold War tensions, the world saw its energy landscape shaken twice by oil crises in the 20th century. The first major disruption, known popularly as the ""first oil shock,"" occurred after a collective decision by several oil-exporting nations in the early 1970s. As the decade drew to a close, another surge in oil prices took the global economy by surprise. This turning point happened in the same year that Margaret Thatcher became Britain's Prime Minister and was shortly before the Soviet-Afghan War began, marking the second major oil crisis.",When was the second oil crisis?,the year that Margaret Thatcher became Britain's Prime Minister
